Vehicle_ID,Fuel_ID,Fuel_Configuration_ID,Manufacturer_ID,Category_ID,Model,Model_Year,Alternative_Fuel_Economy_City,Alternative_Fuel_Economy_Highway,Alternative_Fuel_Economy_Combined,Conventional_Fuel_Economy_City,Conventional_Fuel_Economy_Highway,Conventional_Fuel_Economy_Combined,Transmission,Engine_Type,Engine_Size,Engine_Cylinder_Count,Engine_and_Motors_Description,Manufacturer,Manufacturer_URL,Category,Fuel_Code,Fuel,Fuel_Configuration_Name,Electric_Only_Range,eRange_min,eRange_max,eRange_avg,Total_Range,PHEV_Type,Notes,Drivetrain,Charging_Rate_Level_2_in_kW,Charging_Rate_DC_Fast_kW,Charging_Speed_Level_1_miles_added_per_hour_of_charging,Charging_Speed_Level_2_miles_added_per_hour_of_charging,Charging_Speed_DCFast_miles_added_per_hour_of_charging,Battery_Voltage,Battery_Capacity_Amp_Hours,Battery_Capacity_kWh,Seating_Capacity
13532,57,9,490,29,Tonale eAWD,2024,,,77,29,29,29,Auto,SI,1.3L,4,"1.3L I4;
89 kW electric motor",Alfa Romeo,,SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,33,33,33,33,360,Blended,,AWD,,,,,,304,51,15,
13483,45,9,377,27,A3,2024,,,,29,37,32,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,FWD,,,,,,,,,
13482,45,9,377,27,A3 quattro,2024,,,,27,34,30,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13347,45,9,377,27,A4 quattro/S-Line/Allroad,2024,,,,,,27-30,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,Includes Allroad and S-Line models,AWD,,,,,,,,,
13348,45,9,377,27,A5 quattro Coupe/Cabriolet/Sportback,2024,,,,,,27-30,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,"Includes Coupe, Cabriolet, and Sportback models",AWD,,,,,,,,,
13484,45,9,377,27,A6 quattro,2024,,,,23,33,26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13485,45,9,377,27,A6 quattro/Allroad,2024,,,,22,30,25,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13487,45,9,377,27,A7 quattro,2024,,,,22,30,25,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13486,45,9,377,27,A8 quattro,2024,,,,19,28,22,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,,AWD,,,,,,,,,
13421,41,1,377,27,e-tron GT/RS e-tron GT,2024,,,85,,,,Auto,e-motor,175 kW and 320 or 335 kW,,175 kW and 320 or 335 kW electric motors,Audi,http://progress.audiusa.com/,Sedan/Wagon,ELEC,Electric,Dedicated,249,249,249,249,,,,AWD,9.6,270,3,23,292,723,129,93,5
13422,41,1,377,29,Q4 40 e-tron,2024,112,94,103,,,,Auto,e-motor,150 kW,,150 kW electric motor,Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,265,265,265,265,,,,RWD,11,125,3,31,282,352,234,82,5
13423,41,1,377,29,Q4 50 e-tron quattro,2024,97,87,93,,,,Auto,e-motor,80 kW (x2),,80 kW electric motors (x2),Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,236,236,236,236,,,,AWD,11,125,3,31,282,352,234,82,5
13424,41,1,377,29,Q4 Sportback 50 e-tron quattro,2024,100,89,95,,,,Auto,e-motor,80 kW (x2),,80 kW electric motors (x2),Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,Dedicated,242,242,242,242,,,,AWD,11,125,3,31,282,352,234,82,5
13349,45,9,377,29,Q5 quattro/Sportback/S-Line,2024,,,,,,24-26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,Includes S-Line and Sportback S-Line models,AWD,,,,,,,,,
